"type"	"variable"	"avg"	"std"	"med"
"1"	"lake"	"CA"	251.150710064985	1044.73482054528	9.7999816225
"2"	"lakes"	"area"	6.17942439128788	28.5522811088044	0.4087485875
"3"	"lakes"	"bottom temp"	14.8373846153846	7.51218931905903	13.7
"4"	"lakes"	"depth"	10.7356060606061	11.4234433888302	5.7
"5"	"lakes"	"elevation"	767.674848484848	950.01885869256	287.955
"6"	"lakes"	"perimeter"	12.9035149124848	47.2688890578488	3.288665855
"7"	"lakes"	"secchi"	3.2375	3.05033008646009	2.15
"8"	"lakes"	"temp at 1m"	22.3833333333333	4.45233843211905	23.25
"9"	"lakes"	"tempdep"	0.837547971560762	0.834494079793114	0.542890442890443
"10"	"lakes"	"vol"	0.988811961050078	4.78719274904613	0.0569137915165877
"11"	"reservoir"	"area"	5.19616069189394	15.0944608819459	0.711117577
"12"	"reservoir"	"bottom temp"	18.4877272727273	6.47874199456714	19.9
"13"	"reservoir"	"CA"	712.049055536136	2932.05455204388	63.83225758
"14"	"reservoir"	"depth"	8.6780303030303	10.2621152744822	5.25
"15"	"reservoir"	"elevation"	639.23696969697	734.713801989423	301.75
"16"	"reservoir"	"perimeter"	21.6884580313333	50.4240647106329	6.796567405
"17"	"reservoir"	"secchi"	1.895625	1.9848240275789	1.26
"18"	"reservoir"	"temp at 1m"	22.879406779661	4.23772467462013	23.6
"19"	"reservoir"	"tempdep"	0.619934181936397	0.678731660701353	0.396428571428572
"20"	"reservoir"	"vol"	0.779601307707893	1.96762795423453	0.179761655542857
